National Dex Number,Pokemon,Type
#0002,Grass,Poison
#0003,Grass,Poison
#0006,Fire,Flying
#0012,Bug,Flying
#0013,Bug,Poison
#0014,Bug,Poison
#0015,Bug,Poison
#0016,Normal,Flying
#0017,Normal,Flying
#0018,Normal,Flying
#0021,Normal,Flying
#0022,Normal,Flying
#0031,Poison,Ground
#0034,Poison,Ground
#0039,Normal,Fairy
#0040,Normal,Fairy
#0041,Poison,Flying
#0042,Poison,Flying
#0043,Grass,Poison
#0044,Grass,Poison
#0045,Grass,Poison
#0046,Bug,Grass
#0047,Bug,Grass
#0048,Bug,Poison
#0049,Bug,Poison
#0062,Water,Fighting
#0069,Grass,Poison
#0070,Grass,Poison
#0071,Grass,Poison
#0072,Water,Poison
#0073,Water,Poison
#0074,Rock,Ground
#0075,Rock,Ground
#0076,Rock,Ground
#0079,Water,Psychic
#0080,Water,Psychic
#0081,Electric,Steel
#0082,Electric,Steel
#0083,Normal,Flying
#0084,Normal,Flying
#0085,Normal,Flying
#0087,Water,Ice
#0091,Water,Ice
#0092,Ghost,Poison
#0093,Ghost,Poison
#0094,Ghost,Poison
#0095,Rock,Ground
#0102,Grass,Psychic
#0103,Grass,Psychic
#0111,Ground,Rock
#0112,Ground,Rock
#0121,Water,Psychic
#0122,Psychic,Fairy
#0123,Bug,Flying
#0124,Ice,Psychic
#0130,Water,Flying
#0131,Water,Ice
#0138,Rock,Water
#0139,Rock,Water
#0140,Rock,Water
#0141,Rock,Water
#0142,Rock,Flying
#0144,Ice,Flying
#0145,Electric,Flying
#0146,Fire,Flying
#0149,Dragon,Flying
